timetamp,iopv,time,date,iopv_lag
44:36.0,3.901,14:44:36,4/20/2020,3.9
45:06.0,3.9,45:06.0,4/20/2020,3.901
45:21.0,3.901,45:21.0,4/20/2020,3.9
45:51.0,3.902,45:51.0,4/20/2020,3.901
46:21.0,3.903,14:46:21,4/20/2020,3.902
47:36.0,3.904,14:47:36,4/20/2020,3.903
47:51.0,3.903,47:51.0,4/20/2020,3.904
48:21.0,3.904,48:21.0,4/20/2020,3.903
49:54.0,3.905,49:54.0,4/20/2020,3.904
50:09.0,3.904,50:09.0,4/20/2020,3.905
50:24.0,3.905,14:50:24,4/20/2020,3.904
52:09.0,3.904,52:09.0,4/20/2020,3.905
52:24.0,3.905,52:24.0,4/20/2020,3.904
52:39.0,3.904,52:39.0,4/20/2020,3.905
53:54.0,3.903,14:53:54,4/20/2020,3.904
54:09.0,3.904,14:54:09,4/20/2020,3.903
55:24.0,3.905,55:24.0,4/20/2020,3.904
55:54.0,3.906,14:55:54,4/20/2020,3.905
56:27.0,3.905,56:27.0,4/20/2020,3.906
56:42.0,3.906,56:42.0,4/20/2020,3.905
15:03.0,3.907,15:03.0,4/21/2020,
25:18.0,3.891,9:25:18,4/21/2020,3.907
30:21.0,3.89,30:21.0,4/21/2020,3.891
30:36.0,3.887,30:36.0,4/21/2020,3.89
30:51.0,3.885,30:51.0,4/21/2020,3.887
31:06.0,3.886,31:06.0,4/21/2020,3.885
31:21.0,3.887,9:31:21,4/21/2020,3.886
31:36.0,3.888,9:31:36,4/21/2020,3.887
32:06.0,3.886,9:32:06,4/21/2020,3.888
32:21.0,3.885,9:32:21,4/21/2020,3.886
32:36.0,3.884,9:32:36,4/21/2020,3.885
32:51.0,3.883,32:51.0,4/21/2020,3.884
33:21.0,3.881,33:21.0,4/21/2020,3.883
33:51.0,3.882,33:51.0,4/21/2020,3.881
34:06.0,3.884,34:06.0,4/21/2020,3.882
34:24.0,3.886,34:24.0,4/21/2020,3.884
34:39.0,3.887,34:39.0,4/21/2020,3.886
35:24.0,3.885,9:35:24,4/21/2020,3.887
35:39.0,3.884,9:35:39,4/21/2020,3.885
36:24.0,3.883,9:36:24,4/21/2020,3.884
36:39.0,3.882,36:39.0,4/21/2020,3.883
37:09.0,3.884,37:09.0,4/21/2020,3.882
37:39.0,3.885,37:39.0,4/21/2020,3.884
39:09.0,3.886,9:39:09,4/21/2020,3.885
39:24.0,3.884,9:39:24,4/21/2020,3.886
39:39.0,3.883,39:39.0,4/21/2020,3.884
40:09.0,3.882,40:09.0,4/21/2020,3.883
40:27.0,3.881,9:40:27,4/21/2020,3.882
41:12.0,3.882,41:12.0,4/21/2020,3.881
41:27.0,3.883,41:27.0,4/21/2020,3.882
41:42.0,3.884,41:42.0,4/21/2020,3.883
41:57.0,3.883,41:57.0,4/21/2020,3.884
42:12.0,3.884,9:42:12,4/21/2020,3.883
42:57.0,3.883,9:42:57,4/21/2020,3.884
43:27.0,3.882,43:27.0,4/21/2020,3.883
44:12.0,3.881,44:12.0,4/21/2020,3.882
44:57.0,3.88,9:44:57,4/21/2020,3.881
45:12.0,3.879,9:45:12,4/21/2020,3.88
45:27.0,3.877,9:45:27,4/21/2020,3.879
45:42.0,3.876,9:45:42,4/21/2020,3.877
45:57.0,3.875,9:45:57,4/21/2020,3.876
46:12.0,3.874,9:46:12,4/21/2020,3.875
48:15.0,3.873,48:15.0,4/21/2020,3.874
49:00.0,3.872,9:49:00,4/21/2020,3.873
50:00.0,3.873,9:50:00,4/21/2020,3.872
50:15.0,3.872,50:15.0,4/21/2020,3.873
52:45.0,3.873,9:52:45,4/21/2020,3.872
53:33.0,3.874,9:53:33,4/21/2020,3.873
53:48.0,3.873,9:53:48,4/21/2020,3.874
54:03.0,3.874,9:54:03,4/21/2020,3.873
54:18.0,3.873,54:18.0,4/21/2020,3.874
54:48.0,3.872,54:48.0,4/21/2020,3.873
55:18.0,3.871,55:18.0,4/21/2020,3.872
55:33.0,3.872,9:55:33,4/21/2020,3.871
55:48.0,3.871,9:55:48,4/21/2020,3.872
56:03.0,3.87,9:56:03,4/21/2020,3.871
57:03.0,3.869,57:03.0,4/21/2020,3.87
57:48.0,3.87,57:48.0,4/21/2020,3.869
58:18.0,3.869,58:18.0,4/21/2020,3.87
58:51.0,3.868,58:51.0,4/21/2020,3.869
59:36.0,3.867,9:59:36,4/21/2020,3.868
01:06.0,3.868,01:06.0,4/21/2020,3.867
01:36.0,3.867,01:36.0,4/21/2020,3.868
01:51.0,3.868,01:51.0,4/21/2020,3.867
02:06.0,3.867,02:06.0,4/21/2020,3.868
02:51.0,3.868,10:02:51,4/21/2020,3.867
03:06.0,3.869,10:03:06,4/21/2020,3.868
03:21.0,3.87,10:03:21,4/21/2020,3.869
03:51.0,3.871,03:51.0,4/21/2020,3.87
04:06.0,3.872,04:06.0,4/21/2020,3.871
05:39.0,3.87,05:39.0,4/21/2020,3.872
07:24.0,3.869,10:07:24,4/21/2020,3.87
07:54.0,3.868,07:54.0,4/21/2020,3.869
08:09.0,3.867,08:09.0,4/21/2020,3.868
08:24.0,3.866,08:24.0,4/21/2020,3.867
08:39.0,3.865,08:39.0,4/21/2020,3.866
08:54.0,3.863,08:54.0,4/21/2020,3.865
10:09.0,3.864,10:10:09,4/21/2020,3.863
10:24.0,3.863,10:24.0,4/21/2020,3.864
10:54.0,3.862,10:54.0,4/21/2020,3.863
11:09.0,3.863,11:09.0,4/21/2020,3.862
11:24.0,3.862,11:24.0,4/21/2020,3.863
13:42.0,3.863,10:13:42,4/21/2020,3.862
14:12.0,3.864,10:14:12,4/21/2020,3.863
14:27.0,3.865,14:27.0,4/21/2020,3.864
14:57.0,3.866,14:57.0,4/21/2020,3.865
15:12.0,3.867,15:12.0,4/21/2020,3.866
15:42.0,3.866,15:42.0,4/21/2020,3.867
16:27.0,3.867,10:16:27,4/21/2020,3.866
16:42.0,3.866,10:16:42,4/21/2020,3.867
17:30.0,3.865,10:17:30,4/21/2020,3.866
18:00.0,3.866,10:18:00,4/21/2020,3.865
18:15.0,3.865,18:15.0,4/21/2020,3.866
19:00.0,3.864,19:00.0,4/21/2020,3.865
19:15.0,3.865,19:15.0,4/21/2020,3.864
20:15.0,3.866,10:20:15,4/21/2020,3.865
20:45.0,3.865,10:20:45,4/21/2020,3.866
21:00.0,3.866,10:21:00,4/21/2020,3.865
22:30.0,3.865,22:30.0,4/21/2020,3.866
24:48.0,3.866,10:24:48,4/21/2020,3.865
25:18.0,3.865,25:18.0,4/21/2020,3.866
25:48.0,3.866,25:48.0,4/21/2020,3.865
26:33.0,3.865,10:26:33,4/21/2020,3.866
27:03.0,3.864,10:27:03,4/21/2020,3.865
27:33.0,3.863,10:27:33,4/21/2020,3.864
27:48.0,3.862,10:27:48,4/21/2020,3.863
28:03.0,3.861,28:03.0,4/21/2020,3.862
28:33.0,3.86,28:33.0,4/21/2020,3.861
29:18.0,3.858,10:29:18,4/21/2020,3.86
30:18.0,3.856,10:30:18,4/21/2020,3.858
31:51.0,3.857,31:51.0,4/21/2020,3.856
32:21.0,3.858,32:21.0,4/21/2020,3.857
32:36.0,3.857,32:36.0,4/21/2020,3.858
33:36.0,3.858,10:33:36,4/21/2020,3.857
33:51.0,3.857,10:33:51,4/21/2020,3.858
35:51.0,3.856,35:51.0,4/21/2020,3.857
36:21.0,3.855,10:36:21,4/21/2020,3.856
37:39.0,3.854,10:37:39,4/21/2020,3.855
39:09.0,3.853,39:09.0,4/21/2020,3.854
39:39.0,3.852,39:39.0,4/21/2020,3.853
40:39.0,3.851,10:40:39,4/21/2020,3.852
40:54.0,3.85,10:40:54,4/21/2020,3.851
43:57.0,3.851,10:43:57,4/21/2020,3.85
44:42.0,3.852,10:44:42,4/21/2020,3.851
45:12.0,3.853,45:12.0,4/21/2020,3.852
45:42.0,3.854,45:42.0,4/21/2020,3.853
45:57.0,3.855,45:57.0,4/21/2020,3.854
46:27.0,3.856,46:27.0,4/21/2020,3.855
46:42.0,3.857,46:42.0,4/21/2020,3.856
47:57.0,3.858,10:47:57,4/21/2020,3.857
48:12.0,3.857,48:12.0,4/21/2020,3.858
48:30.0,3.858,10:48:30,4/21/2020,3.857
49:30.0,3.857,49:30.0,4/21/2020,3.858
49:45.0,3.858,49:45.0,4/21/2020,3.857
51:00.0,3.859,10:51:00,4/21/2020,3.858
51:15.0,3.86,10:51:15,4/21/2020,3.859
51:30.0,3.859,10:51:30,4/21/2020,3.86
51:45.0,3.857,10:51:45,4/21/2020,3.859
